,missing_glove,missing_cn,missing_wn
responded,1,1,0
janell,1,1,1
jizzle,1,1,1
sextapes,1,1,1
konser,1,1,1
brynne,1,1,1
emoji,1,1,1
nabbed,1,1,0
aloe,1,1,1
chances,1,1,0
drugs,1,0,0
gibby,1,1,1
putri,1,1,1
junkfood,1,1,1
gifts,1,1,0
teem,1,1,0
jmike,1,1,1
comi,1,1,1
chero,1,1,1
supa,1,1,1
faded,1,1,0
stays,1,1,0
cord,1,1,0
beenin,1,1,1
chilln,1,1,1
solange,1,1,1
exchanged,1,1,0
endangering,1,1,0
liu,1,1,1
bitin,1,1,1
nga,1,1,0
bresha,1,1,1
reall,1,1,1
veces,1,1,1
suster,1,1,1
approx,1,1,1
unbelievably,1,0,0
ridiculously,1,1,0
najah,1,1,1
tiara,1,1,1
haself,1,1,1
hungova,1,1,1
shleeep,1,1,1
snh,1,1,1
g.o,1,1,1
signed,1,1,0
scored,1,0,0
grandads,1,1,0
panera,1,1,1
mcchicken,1,1,1
|,1,1,1
janes,1,1,1
cation,1,1,1
tweens,1,1,1
kirked,1,1,1
buchanan,1,1,0
repondre,1,1,1
niko,1,1,1
highnotes,1,1,1
revines,1,1,1
tabbed,1,1,1
headings,1,1,0
menjemput,1,1,1
reno,1,1,0
optimo,1,1,1
sitting,1,1,0
funnii,1,1,1
leader,1,1,0
ump,1,1,0
alrs,1,1,1
askes,1,1,0
golden,1,1,0
neurotic,1,1,0
goddess,1,1,1
lays,1,1,0
nisa,1,1,1
haiti,1,1,0
skulls,1,1,0
thigh,1,1,0
brina,1,1,1
naja,1,1,0
crepa,1,1,1
boog,1,1,1
malaga,1,1,0
steff,1,0,1
disowned,1,1,0
mums,1,1,0
chose,1,1,0
supervisor,1,1,0
leavinn,1,1,1
nicknames,1,1,0
twicca,1,1,1
dismantled,1,1,0
shaun,1,1,1
acquiring,1,1,0
chinchilla,1,1,0
fabulosity,1,1,1
undated,1,1,0
kooln,1,1,1
bonne,1,1,1
arcadia,1,1,0
oodles,1,1,0
speeds,1,0,0
tezo,1,1,1
vapor,1,1,0
roommate,1,1,0
youngie,1,1,1
twirra,1,1,1
popsicles,1,0,0
badside,1,1,1
callnn,1,1,1
grady,1,1,1
fussin,1,1,1
evolved,1,0,0
reon,1,1,1
yokota,1,1,1
mkn,1,1,1
redid,1,1,0
power,1,1,0
relate,1,1,0
waits,1,1,0
abstinent,1,1,0
frys,1,1,0
tickets,1,1,0
swype,1,1,1
ppr,1,1,1
pleeease,1,1,1
floodin,1,1,1
fishsticks,1,1,1
ahahahahaha,1,1,1
thanks,1,1,0
unimpressed,1,1,1
toe,1,1,0
extract,1,1,0
clown,1,0,0
bait,1,1,0
nown,1,1,1
oda,1,1,1
moomoo,1,1,1
reciprocal,1,1,0
giggy,1,1,1
pistorius,1,1,1
disintegrated,1,1,0
satchel,1,1,1
queenie,1,1,1
places,1,1,0
backup,1,1,0
autofill,1,1,1
carols,1,1,0
lightys,1,1,1
felt,1,1,0
dxm,1,1,1
phony,1,1,0
sixteen,1,1,0
xrated,1,1,1
complaining,1,1,0
maxs,1,1,0
esa,1,1,1
chillaxing,1,1,1
thuqqin,1,1,1
jawuan,1,1,1
unlce,1,1,1
protests,1,1,0
proxy,1,1,0
keychain,1,1,1
treasures,1,1,0
boof,1,1,1
packed,1,1,0
reunion,1,1,0
hs,1,1,0
flip,1,0,0
azt,1,1,0
brada,1,1,1
hasten,1,1,0
landn,1,1,1
marlee,1,1,1
involved,1,1,0
began,1,1,0
commin,1,1,1
kn,1,0,1
platform,1,0,0
daes,1,1,1
shamya,1,1,1
broach,1,1,0
uglay,1,1,1
refuses,1,1,0
prologue,1,1,1
denmark,1,1,0
fna,1,1,1
proofs,1,1,0
ieen,1,1,1
idds,1,1,1
exorcisms,1,1,0
cults,1,1,0
croak,1,1,0
wards,1,1,0
kellys,1,1,0
cherrys,1,1,0
rocawear,1,1,1
gayung,1,1,1
ensemble,1,1,0
goom,1,1,1
iphonee,1,1,1
pinger,1,1,1
pen,1,1,0
cougar,1,1,0
ems,1,1,0
haag,1,1,1
parkville,1,1,1
stitching,1,1,0
condolence,1,1,0
bence,1,1,1
trouble,1,1,0
ignant,1,1,1
aumm,1,1,1
letten,1,1,1
sayiin,1,1,1
tongs,1,1,0
carr,1,1,1
tipps,1,1,1
goodevening,1,1,1
plugg,1,1,1
gdd,1,1,1
mansions,1,1,0
businesses,1,1,0
tiger,1,0,0
r.o.d,1,1,1
bessfrann,1,1,1
apac,1,1,1
telework,1,1,1
sss,1,1,0
buns,1,1,0
stamos,1,1,1
beaut,1,1,0
keykey,1,1,1
pastors,1,1,0
mean,1,1,0
travel,1,1,0
jys,1,1,1
mcmuffin,1,1,1
totten,1,1,1
naimah,1,1,1
zani,1,1,1
danie,1,1,1
dolled,1,1,1
bitstrip,1,1,1
rioting,1,1,0
hacerse,1,1,1
locations,1,1,0
originality,1,1,1
grippos,1,1,1
trust,1,1,0
compare,1,1,0
suscribe,1,1,1
fckers,1,1,1
hangn,1,1,1
jmo,1,1,1
raq,1,1,1
maemo,1,1,1
o'charley,1,1,1
sweeeet,1,1,1
nursery,1,1,0
attemp,1,1,1
rain,1,1,0
suitemate,1,1,1
teasing,1,1,0
cabel,1,1,1
cargo,1,1,0
damen,1,1,1
wares,1,1,0
context,1,1,0
excel,1,1,0
stiletto,1,1,1
compression,1,1,0
museum,1,1,1
lukd,1,1,1
fad,1,1,0
eggo,1,1,1
truna,1,1,1
keepit,1,1,1
leavee,1,1,1
qive,1,1,1
xxxxx,1,1,1
condensed,1,1,0
noisy,1,1,1
loud,1,1,0
dink,1,1,0
kus,1,1,1
stripping,1,1,0
nij,1,1,0
kams,1,1,1
mohawks,1,1,0
dalton,1,1,0
hotties,1,0,1
camps,1,1,0
circumcision,1,1,0
tuhan,1,1,1
insane,1,1,0
hoverboards,1,1,1
qween,1,1,1
teeno,1,1,1
bys,1,1,1
barbz,1,1,1
leav,1,1,1
chilis,1,1,0
performing,1,0,0
christmaspresent,1,1,1
accessory,1,1,0
monna,1,1,1
uhs,1,1,1
boku,1,1,1
sonar,1,1,0
toya,1,1,1
skated,1,1,0
empty,1,0,0
antha,1,1,1
sumer,1,1,0
tooted,1,1,0
babymom,1,1,1
girfriend,1,1,1
roast,1,1,0
munch,1,1,0
ked,1,1,1
muinta,1,1,1
whereabouts,1,1,1
munford,1,1,1
brendas,1,1,1
icum,1,1,1
suin,1,1,1
truly,1,1,0
mskin,1,1,1
qud,1,1,1
w.out,1,1,1
anchorman,1,1,0
whut,1,1,1
hahahahahahahahah,1,1,1
nesecito,1,1,1
faultt,1,1,1
weaaaaak,1,1,1
ketta,1,1,1
thadd,1,1,1
goon,1,1,0
bix,1,0,1
tuke,1,1,1
pleade,1,1,1
questionz,1,1,1
nese,1,1,1
thinkingg,1,1,1
visitin,1,1,1
toledo,1,1,0
chonies,1,1,1
jailbait,1,1,1
lovin,1,1,1
youre,1,1,1
sunflower,1,0,0
deza,1,1,1
lolah,1,1,1
c.o,1,1,1
erbody,1,1,1
racer,1,1,0
bakin,1,1,1
civic,1,1,0
issuess,1,1,0
workaholic,1,1,1
eeh,1,1,1
fired,1,0,0
valet,1,1,0
siis,1,1,1
magnet,1,1,0
cleaner,1,1,0
woww,1,1,1
shaken,1,1,0
dearly,1,1,0
snatcher,1,1,0
tray,1,1,1
chocolaty,1,1,1
mucus,1,1,0
nots,1,1,1
pepz,1,1,1
mussy,1,1,0
sparkle,1,1,0
eyeshadow,1,1,1
fuckan,1,1,1
entire,1,1,0
liquors,1,1,0
motorcycle,1,1,0
preschool,1,1,1
pompano,1,1,1
divin,1,1,1
niggies,1,1,1
shawties,1,1,1
thursdays,1,1,0
wuld,1,1,1
grenade,1,1,1
rahasia,1,1,1
divisao,1,1,1
communicated,1,1,0
discreetly,1,1,1
cursing,1,0,0
mea,1,1,1
housework,1,1,0
sapa,1,1,1
lowe,1,1,1
overflowed,1,1,0
kandi,1,1,1
yaull,1,1,1
mfkas,1,1,1
tropic,1,1,0
hillside,1,0,1
sals,1,1,1
yonn,1,1,1
chocked,1,1,0
mystical,1,0,0
vanishing,1,1,0
discovering,1,1,0
pedestrians,1,1,0
betweeen,1,1,1
jarrod,1,1,1
remorseful,1,1,0
maaah,1,1,1
woah,1,1,1
suffocate,1,1,0
unchained,1,1,0
musst,1,1,1
stationary,1,0,1
nihh,1,1,1
speak,1,1,0
bme,1,1,1
alc,1,1,1
bmg,1,1,1
chills,1,1,0
ladys,1,1,0
legitimate,1,1,0
reviving,1,1,0
rediscovering,1,1,0
shawdy,1,1,1
pointin,1,1,1
immediate,1,1,0
dekalb,1,1,1
rabbie,1,1,1
churning,1,1,0
scrub,1,0,0
clean,1,1,0
yhoo,1,1,1
durrant,1,1,1
neysede,1,1,1
duckling,1,1,1
hides,1,1,0
rapin,1,1,1
mordiscos,1,1,1
nyce,1,1,1
deceiving,1,1,0
gawwwwwd,1,1,1
soc,1,1,1
estat,1,1,1
wyg,1,1,1
kokes,1,1,1
arranging,1,1,0
stains,1,1,0
floaters,1,1,0
rockera,1,1,1
kashia,1,1,1
goodsign,1,1,1
tmrw,1,1,1
cigg,1,1,1
blooms,1,1,0
citrus,1,1,0
ado,1,1,0
bossed,1,1,0
amt,1,1,1
carved,1,1,0
taser,1,1,1
creel,1,0,1
dfw,1,1,1
mahoney,1,1,1
mackey,1,1,1
gentilly,1,1,1
sometimes,1,1,1
warcraft,1,1,1
jitters,1,1,0
hypebeast,1,1,1
sundayz,1,1,1
speeking,1,1,1
goulash,1,1,0
manit,1,1,1
beb,1,1,1
avoided,1,1,0
luckycharms,1,1,1
dickride,1,1,1
betwn,1,1,1
phenomenal,1,1,1
aqo,1,1,1
hmphh,1,1,1
nuggah,1,1,1
somas,1,1,0
rewinded,1,0,1
butted,1,1,0
earlybirds,1,1,1
previas,1,1,1
hts,1,1,1
flukes,1,0,0
claming,1,1,0
graduates,1,1,0
luckey,1,1,1
eoct,1,1,1
acknowledgement,1,1,0
nny,1,1,1
ushering,1,1,0
rolemodel,1,1,1
myex,1,1,1
temenku,1,1,1
puppybowl,1,1,1
cancelling,1,1,0
nayy,1,1,1
everywoman,1,0,1
aluminum,1,1,0
mixup,1,1,1
bottles,1,1,0
confetti,1,1,1
education,1,1,0
happynewyear,1,1,1
bowt,1,1,1
sbout,1,1,1
meekmillz,1,1,1
sabotage,1,1,0
haslem,1,1,1
sould,1,1,1
expel,1,1,0
candlelight,1,1,0
noooooot,1,1,1
temptations,1,1,0
hysterically,1,1,1
fckkn,1,1,1
myte,1,1,1
oga,1,1,1
claudiaa,1,1,1
restraint,1,0,0
mutherfucka,1,1,1
pickins,1,1,1
kasee,1,1,1
wondered,1,1,0
heeeeey,1,1,1
cuzz,1,1,1
brutha,1,1,1
thot,1,1,1
grout,1,1,1
goldenglobes,1,1,1
bttr,1,1,1
sweettooth,1,1,1
rested,1,1,0
discrimination,1,1,0
midlife,1,1,1
waf,1,1,1
liftin,1,1,1
afar,1,1,1
loopers,1,1,0
vibrators,1,1,0
dbe,1,1,1
agendas,1,1,0
toolie,1,1,1
moooore,1,1,1
kado,1,1,1
ragged,1,1,0
wrecks,1,1,0
tearss,1,1,0
reasonable,1,1,0
wanaa,1,1,1
conning,1,1,0
archers,1,1,0
starched,1,0,0
ahahhaa,1,1,1
wasn,1,1,1
darnit,1,1,1
scifi,1,1,1
pasd,1,1,1
sickandtired,1,1,1
newsflash,1,0,0
hock,1,1,0
mindstate,1,1,1
wire,1,1,0
doir,1,1,1
deliever,1,1,1
superset,1,1,1
aaaww,1,1,1
hahahahahahahahhaha,1,1,1
cldnt,1,1,1
smackdown,1,1,1
duces,1,1,0
deuces,1,1,0
commentators,1,1,0
bour,1,1,1
haaaaaaan,1,1,1
ploy,1,1,0
racing,1,1,0
mnow,1,1,1
violators,1,1,0
debacle,1,1,0
illusion,1,1,0
weeeeeak,1,1,1
undastand,1,1,1
sinners,1,1,0
wahh,1,1,1
dissmissed,1,1,1
glisten,1,1,0
truey,1,1,1
nomatta,1,1,1
reaping,1,1,0
rockstars,1,1,1
boredlife,1,1,1
bullet,1,1,0
aaaall,1,1,1
snowfall,1,1,0
nunthing,1,1,1
ripp,1,1,1
lbvfs,1,1,1
sift,1,0,0
ambrose,1,1,0
suckie,1,1,1
skeeze,1,1,1
babysteps,1,1,1
orchestrated,1,1,0
aritzia,1,1,1
jnow,1,1,1
bimmer,1,1,1
psst,1,1,1
woulf,1,1,1
additude,1,1,1
raiding,1,1,0
esj,1,1,1
waive,1,1,0
tweepz,1,1,1
thunderstorms,1,1,0
actuallt,1,1,1
brewin,1,1,1
surgical,1,1,0
hundo,1,1,1
hangers,1,1,0
whaf,1,1,1
fireball,1,1,0
amaaaaazing,1,1,1
debauchery,1,1,0
river,1,1,1
flailing,1,1,0
squeaking,1,1,0
imdying,1,1,1
euphoric,1,1,1
luckys,1,1,1
reactionary,1,1,0
sneakyy,1,1,1
maaaan,1,1,1
plsz,1,1,1
isnot,1,1,1
happie,1,1,1
sherie,1,1,1
utter,1,1,0
bandwagon,1,1,1
yeaa,1,1,1
girrrrrrl,1,1,1
woa,1,1,1
hypothesis,1,1,0
nighhhht,1,1,1
babbby,1,1,1
witta,1,1,1
bitckh,1,1,1
lawwdd,1,1,1
cy,1,1,1
fkd,1,1,1
binks,1,1,1
twentys,1,1,0
sidelines,1,1,0
ejaculate,1,1,0
strongsville,1,1,1
ifound,1,1,1
thatsit,1,1,1
fabricate,1,1,0
m'en,1,1,1
pull,1,1,0
actions,1,1,0
imjustsayin,1,1,1
burrow,1,0,0
guarantees,1,1,0
wanba,1,1,1
chalked,1,1,0
yonder,1,1,0
prestigious,1,1,0
hyfr,1,1,1
rencana,1,1,1
overreacting,1,0,0
becuase,1,1,1
unrealistic,1,1,1
itsbeentoolong,1,1,1
nooo,1,1,1
vana,1,1,1
bitterness,1,0,0
quitarle,1,1,1
ithank,1,1,1
judgements,1,1,0
lbhs,1,1,1
gadon,1,1,1
tavy,1,1,1
saxophone,1,1,0
twitterlings,1,1,1
bettah,1,1,1
wi,1,1,0
ceasing,1,1,0
dipshit,1,1,1
exaggeration,1,1,0
bishh,1,1,1
stellar,1,1,0
erre,1,1,1
valdosta,1,1,0
unies,1,1,1
fukkin,1,1,1
lamest,1,1,0
catdaddy,1,1,1
rapeculture,1,1,1
beholder,1,1,0
screwdriver,1,1,1
justices,1,1,0
storming,1,1,0
smedium,1,1,1
biggestloser,1,1,1
pipedown,1,1,1
roundz,1,1,1
lamez,1,1,1
laught,1,1,1
squeal,1,1,0
awhole,1,1,1
thankxx,1,1,1
bsk,1,1,1
kidding,1,1,0
croch,1,1,1
buddi,1,1,1
maaaai,1,1,1
makossa,1,1,1
projecting,1,1,0
turret,1,0,0
harmonika,1,1,1
unwind,1,1,0
knooooooooow,1,1,1
sweeper,1,1,0
lmaaaao,1,1,1
kui,1,1,0
geeeeesh,1,1,1
whomever,1,1,1
giiirl,1,1,1
gotchya,1,1,1
storyy,1,1,1
petinju,1,1,1
deke,1,1,1
scaled,1,1,0
grindtime,1,1,1
hoodz,1,1,1
mudafucka,1,1,1
freakout,1,1,1
realtears,1,1,1
truckstop,1,1,1
anbody,1,1,1
dayshift,1,1,1
drawback,1,1,1
girrrrl,1,1,1
ammunition,1,1,0
interpret,1,1,0
holler,1,1,0
fellas,1,1,0
walkk,1,1,1
stoop,1,1,0
bountiful,1,1,0
gocrazy,1,1,1
pew,1,1,0
purposeless,1,1,0
sixers,1,1,0
muter,1,1,0
brenang,1,1,1
westchester,1,0,1
legalized,1,1,0
guycode,1,1,1
poont,1,1,1
sefalosha,1,1,1
responsibly,1,1,1
wooooah,1,1,1
fork,1,1,0
suxk,1,1,1
fuckimg,1,1,1
cleanup,1,1,0
tasting,1,1,0
to'em,1,1,1
willed,1,0,0
spaa,1,1,1
layups,1,1,0
cigar,1,1,1
tournaments,1,1,0
recliner,1,1,0
folding,1,1,0
nit,1,1,1
whaaaaaaaaat,1,1,1
accordingly,1,0,0
backfire,1,1,0
trut,1,1,1
bball,1,1,1
freshen,1,1,0
doooope,1,1,1
stellars,1,1,1
cram,1,0,0
lovvvvvve,1,1,1
soberlife,1,1,1
unbelievers,1,1,0
logical,1,1,0
stanford,1,1,0
accomplishments,1,0,0
yerp,1,1,1
wehere,1,1,1
scented,1,1,0
inkling,1,1,0
principles,1,1,0
ganando,1,1,1
stfup,1,1,1
fohh,1,1,1
hegs,1,1,1
truuust,1,1,1
worrd,1,1,1
shoooooot,1,1,1
waaait,1,1,1
aphrodisiac,1,1,0
dooing,1,1,1
paddys,1,1,0
vendiga,1,1,1
breakfastclub,1,1,1
jussssst,1,1,1
measure,1,1,0
thanka,1,1,1
spolestra,1,1,1
dickey,1,1,0
yac,1,1,1
spo,1,1,1
fbgm,1,1,1
werrk,1,1,1
sidehoe,1,1,1
straw,1,1,0
crock,1,1,0
lassst,1,1,1
muthfuckin,1,1,1
gshit,1,1,1
playoff,1,1,1
varri,1,1,1
sante,1,1,1
bennihanas,1,1,1
releasin,1,1,1
h.o.e,1,1,1
fucj,1,1,1
shuuuuuut,1,1,1
wonderr,1,1,1
tunt,1,1,1
devils,1,1,0
sweep,1,1,0
scooper,1,1,1
yessir,1,1,1
scorpios,1,1,0
underestimate,1,1,0
deseve,1,1,1
gasby,1,1,1
ela,1,1,0
leite,1,1,1
casa,1,1,1
vo,1,1,1
],1,1,1
bea,1,1,1
neves,1,1,0
quanto,1,1,1
lepas,1,1,0
kredit,1,1,1
gland,1,1,0
sudah,1,1,1
snapchats,1,1,1
deviennent,1,1,1
lance,1,1,0
alex,1,1,1
anorexic,1,0,0
par,1,1,0
painn,1,1,1
starbucks,1,1,1
noot,1,1,1
xperia,1,1,1
stressn,1,1,1
domo,1,1,1
generics,1,1,0
donalds,1,1,1
lately,1,1,0
doen,1,1,1
tweeten,1,1,1
darron,1,1,1
duplex,1,1,0
downgraded,1,1,0
padat,1,1,1
zte,1,1,1
evra,1,1,1
alor,1,1,1
rekindling,1,1,0
para,1,1,0
tiempo,1,1,1
hernandez,1,1,1
jail,1,1,0
delirious,1,1,0
millions,1,0,0
ehhh,1,1,1
secara,1,1,1
wanita,1,1,1
abrazos,1,1,1
lesbian,1,1,0
fannie,1,1,1
meowed,1,1,0
rusts,1,1,0
dinda,1,1,1
bobo,1,1,1
rolo,1,1,1
directly,1,1,0
accessories,1,1,0
noches,1,1,1
kut,1,1,1
vintage,1,1,0
knott,1,1,1
daijah,1,1,1
hashtag,1,0,1
notebooks,1,1,0
selma,1,1,0
deborah,1,1,1
odom,1,1,1
mally,1,1,1
stef,1,1,1
renee,1,1,1
kapri,1,1,1
chove,1,1,1
week,1,1,0
beef,1,1,0
kriss,1,1,0
favouriting,1,1,1
samples,1,1,0
besar,1,1,1
blm,1,1,1
jose,1,0,1
batons,1,1,0
vey,1,1,1
utube,1,1,1
bbf,1,1,1
novi,1,0,1
croissants,1,1,0
part,1,1,0
santa,1,1,0
pug,1,1,0
originated,1,1,0
bersiap,1,1,1
mont,1,0,1
claro,1,1,1
indica,1,1,1
tsk,1,1,0
mullah,1,1,0
spence,1,1,1
stormin,1,1,1
aioli,1,1,0
markis,1,1,1
brocolli,1,1,1
boulevard,1,1,0
progressively,1,1,0
shy,1,1,0
edu,1,1,1
minions,1,1,0
uber,1,1,1
hambar,1,1,1
ching,1,1,1
flees,1,1,0
buckey,1,1,1
bdp,1,1,1
shyla,1,1,1
characters,1,1,0
sloth,1,1,0
clusters,1,1,0
statues,1,1,0
mangos,1,1,0
chevelle,1,1,1
pregnent,1,1,1
pregnet,1,1,1
necklaces,1,1,0
greg,1,1,1
deformed,1,1,0
ordering,1,1,0
bravo,1,1,0
woken,1,1,0
transitioned,1,1,0
retreated,1,1,0
fleeces,1,1,0
thugs,1,1,0
dis,1,1,0
gammer,1,0,1
dissing,1,1,0
acre,1,1,0
rusak,1,1,1
ovaries,1,1,0
kaln,1,1,1
maps,1,1,0
ravenous,1,1,0
mike,1,1,0
medina,1,1,0
purses,1,1,0
tenia,1,0,0
recien,1,1,1
coles,1,1,0
accessible,1,1,0
powdered,1,1,0
alie,1,1,1
autobot,1,1,1
syn,1,1,1
braids,1,1,0
kimmie,1,1,1
imessaging,1,1,1
uninvited,1,1,1
bagi,1,1,1
lain,1,1,0
baik,1,1,1
camer,1,1,1
bright,1,1,0
yellow,1,1,0
flexi,1,1,1
ginger,1,1,0
cereal,1,1,0
muffin,1,0,0
jones,1,1,0
fashionably,1,1,1
kissy,1,0,1
thieves,1,0,0
cos,1,1,0
stoped,1,1,0
nameless,1,1,0
raveen,1,1,1
quanda,1,1,1
shamira,1,1,1
butchered,1,1,0
customization,1,1,1
townhouse,1,1,1
condos,1,1,0
twifey,1,1,1
stanka,1,1,1
paps,1,1,0
louies,1,1,1
allergic,1,1,0
disk,1,1,0
bx,1,1,1
tyanna,1,1,1
rebel,1,0,0
protecter,1,1,1
exploited,1,1,0
indigestion,1,1,0
constipation,1,1,0
bam,1,1,0
go,1,1,0
shar,1,1,1
changedd,1,1,1
snippets,1,1,0
omw,1,1,1
pinas,1,1,1
globe,1,1,0
dashawn,1,1,1
neet,1,1,1
aqainst,1,1,1
diverse,1,0,0
benzino,1,1,1
freshout,1,1,1
carss,1,1,0
catalogues,1,1,0
doug,1,1,1
initials,1,1,0
pelle,1,1,1
bre,1,1,1
tae,1,1,1
fumes,1,1,0
princess,1,1,1
dearest,1,1,0
beats,1,0,0
saww,1,1,1
shavon,1,1,1
olda,1,1,1
tameka,1,1,1
player,1,1,0
stuck,1,0,0
ford,1,1,0
bab,1,1,1
acme,1,1,0
switcher,1,1,0
subways,1,1,0
blackpeoplemeet,1,1,1
keyana,1,1,1
mfss,1,1,0
gamzee,1,1,1
overpriced,1,1,0
distracting,1,1,0
draining,1,0,0
prostate,1,1,0
hana,1,1,1
aiko,1,1,1
lesbo,1,1,1
mengapa,1,1,1
incident,1,0,0
crane,1,0,0
triangle,1,0,0
busz,1,1,1
ablee,1,1,1
marginalized,1,1,0
spectrum,1,1,1
franklinn,1,1,1
universal,1,1,0
eau,1,0,1
finney,1,1,1
sisco,1,1,1
adair,1,1,1
resized,1,1,0
fo,1,1,0
tiana,1,1,1
bolin,1,1,1
among,1,1,1
considered,1,1,0
celibate,1,1,0
mcknight,1,1,1
staged,1,0,0
killings,1,1,0
mutant,1,1,0
frooties,1,1,1
gttin,1,1,1
slpn,1,1,1
ode,1,1,1
legall,1,1,1
negus,1,1,1
brandee,1,1,1
geeky,1,0,1
girly,1,1,1
meb,1,1,1
forced,1,1,0
ambito,1,1,1
arf,1,1,1
mccluer,1,1,1
bosses,1,0,0
written,1,1,0
blazen,1,1,1
brims,1,1,0
mugs,1,1,0
cicatriz,1,1,1
popularity,1,1,1
presentable,1,1,1
ow,1,1,1
coddled,1,1,0
entender,1,0,1
temples,1,1,0
magically,1,1,0
ackin,1,1,1
cheeseburger,1,1,1
tacoo,1,1,1
mynight,1,1,1
jumpn,1,1,1
el,1,1,0
contra,1,1,0
monster,1,1,0
blues,1,1,0
pasado,1,1,1
bagus,1,1,1
ferarri,1,1,1
swingers,1,1,0
faxed,1,1,0
homos,1,1,0
choo,1,1,1
montay,1,1,1
transplant,1,1,0
trios,1,1,0
youtubers,1,1,1
kyron,1,1,1
cancelled,1,1,0
bumps,1,1,0
dashy,1,0,1
mooda,1,1,1
obnoxiously,1,1,0
stal,1,1,1
follwing,1,1,1
joinin,1,1,1
ffback,1,1,1
wasteof,1,1,1
asser,1,1,1
sumner,1,1,0
relevent,1,1,1
heey,1,1,1
admiral,1,1,0
goodfellow,1,1,1
hills,1,1,0
offbeat,1,1,0
effects,1,1,0
ronney,1,1,1
menanti,1,1,1
dunham,1,1,1
nomor,1,1,1
nmr,1,1,0
stronq,1,1,1
sermon,1,1,0
liek,1,1,1
shxt,1,1,1
scripts,1,1,0
smit,1,1,0
divas,1,1,0
ladue,1,1,1
chimie,1,1,1
hiphop,1,1,1
benton,1,1,0
kamikaze,1,1,1
cooking,1,1,0
supper,1,1,1
meant,1,1,0
gyrl,1,1,1
cuty,1,1,1
myraa,1,1,1
snapshots,1,1,0
reflections,1,0,0
ruffle,1,1,0
ditched,1,1,0
bfast,1,1,1
molesting,1,1,0
qeen,1,1,1
mcds,1,1,1
cope,1,1,0
pile,1,1,0
salut,1,1,1
cobbs,1,1,1
hotchocolate,1,1,1
holograms,1,1,0
quitas,1,1,1
macklemore,1,1,1
khiry,1,1,1
you'r,1,1,1
d'angelo,1,1,1
bowel,1,1,0
mating,1,0,0
ten,1,1,0
breen,1,1,1
diggs,1,0,1
juzz,1,1,1
typos,1,1,0
lool,1,1,1
pills,1,0,0
marijuana,1,1,0
jogging,1,1,0
itss,1,1,0
bagian,1,1,1
legacy,1,0,0
marvel,1,1,0
hf,1,1,0
irrelevent,1,1,1
stomachh,1,1,1
enero,1,1,1
sarap,1,1,1
ang,1,0,0
